128,Seshaasai Tech,2025-09-23,423,284.5,813.28,547,-32.7
129,Aptus Pharma,2025-09-23,70,198,13.02,36.83,182.9
130,Ecoline Exim,2025-09-23,141,122.95,76.42,66.64,-12.8
131,Jaro Institute,2025-09-23,890,443.55,450,224.27,-50.2
132,Matrix Geo Solu,2025-09-23,104,97.45,40.2,37.67,-6.3
133,BharatRohan Air,2025-09-23,85,124.95,45.04,66.21,47
134,Ganesh Consumer,2025-09-22,322,219.55,408.9,278.8,-31.8
135,Solvex Edibles,2025-09-22,72,32.9,18.87,8.62,-54.3
136,Altanta Electri,2025-09-22,754,880,687.85,802.8,16.7
137,Siddhi Cotspin,2025-09-19,108,30.25,69.85,19.57,-72
138,GK Energy,2025-09-19,153,156.05,464.26,473.51,2
139,Saatvik Green,2025-09-19,465,388,900.21,751.14,-16.6
140,iValue Infosolu,2025-09-18,299,266.2,560.29,498.83,-11
141,JD Cables,2025-09-18,152,236.85,95.99,149.58,55.8
142,VMS TMT,2025-09-17,99,52.65,148.5,78.98,-46.8
143,Sampat Aluminiu,2025-09-17,120,68,30.53,17.3,-43.3
144,Euro Pratik,2025-09-16,247,310.35,451.39,567.16,25.6
145,TechD Cybersecu,2025-09-15,193,654.8,38.99,132.28,239.3
146,L.T. Elevator,2025-09-12,78,223.95,39.37,113.05,187.1
147,Airfloa Rail,2025-09-11,140,335,91.1,217.98,139.3
148,Shringar House,2025-09-10,165,237.4,400.95,576.88,43.9
149,Galaxy Medicare,2025-09-10,54,21.4,22.31,8.84,-60.4
150,Jay Ambe Super,2025-09-10,78,126.35,18.45,29.88,62
151,Dev Accelerator,2025-09-10,61,41.94,143.35,98.56,-31.2
152,Urban Company,2025-09-10,103,134.35,1900.24,2478.61,30.4
153,Karbonsteel Eng,2025-09-09,159,170.05,59.3,63.42,6.9
154,Taurian MPS,2025-09-09,171,244,42.53,60.69,42.7
155,Nilachal Carbo,2025-09-08,85,102.75,56.1,67.82,20.9
156,Krupalu Metals,2025-09-08,72,49.26,13.48,9.22,-31.6
157,Vashishtha Luxu,2025-09-05,111,110,8.87,8.79,-.9
158,Vigor Plast,2025-09-04,81,70.2,25.1,21.76,-13.3
159,Sharvaya Metals,2025-09-04,196,162.7,58.8,48.81,-17
160,Austere Systems,2025-09-03,55,45.5,15.57,12.88,-17.3
161,Goel Constructi,2025-09-02,263,305,100.15,116.14,16
162,Optivalue Tek,2025-09-02,84,84,51.82,51.82,0
