ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE0RXS01018,SHREENATH PAPER PRODUCTS LTD,Shreenath Paper,25-02-2025,28-02-2025,03-02-2025,04-02-2025,04-02-2025,05-02-2025,44,,44,10,23.36,53.1,35.2,-20,05-03-2025,3000,1.8,BSE SME,FIXED PRICE,FRESH,,MAHARASHTRA,ALOK N PAREKH,Paper-Integrated,Galactico,,,,,,,,,,,,,,,Pure,,,,
INE0VNH01014,NAPS GLOBAL INDIA LTD,NAPS Global,04-03-2025,06-03-2025,07-03-2025,10-03-2025,10-03-2025,11-03-2025,90,,90,10,11.88,13.2,108,20,11-03-2025,1600,1.1,BSE SME,FIXED PRICE,FRESH,,MAHARASHTRA,PANKAJ JAIN,Import,Aryaman,,,,,,,,,,,,,,,Aryaman,,,,
INE0ABU01016,PDP SHIPPING & PROJECTS LTD,PDP Shipping,10-03-2025,12-03-2025,13-03-2025,17-03-2025,17-03-2025,18-03-2025,135,,135,10,12.65,9.37,108.25,-19.8,18-03-2025,1000,,BSE SME,FIXED PRICE,FRESH,,MAHARASHTRA,ANMESH KUMAR,Logistics Integrated,Sun Capital,,,,,,,,,,,,,,,Rikhav,,,,
INE16IQ01014,SUPER IRON FOUNDRY LTD,Super Iron Foun,11-03-2025,13-03-2025,17-03-2025,17-03-2025,17-03-2025,19-03-2025,108,,108,10,68.05,63.01,107.95,0,19-03-2025,1200,5.1,BSE SME,FIXED PRICE,FRESH,,,AKHILESH SAKLECHA,Steel Castings/Found,Horizon,,,,,,,,,,,,,,,Giriraj,,,,
INE0SMW01011,PARADEEP PARIVAHAN LTD,Paradeep Pariva,17-03-2025,19-03-2025,21-03-2025,21-03-2025,21-03-2025,24-03-2025,98,93,98,10,44.86,45.78,78.4,-20,24-03-2025,1200,1.6,BSE SME,BOOK BUILDING,FRESH,,ODISHA,PRAVAT KUMAR NANDI,Infra Service-Divers,Share,,,,,,,,,,,,,,,Share India,,,,
INE0TGG01014,DESCO INFRATECH LTD,Desco Infratech,24-03-2025,26-03-2025,27-03-2025,28-03-2025,28-03-2025,01-04-2025,150,147,150,10,30.75,20.5,160,6.7,01-04-2025,1000,78,BSE SME,BOOK BUILDING,FRESH,,,MALHAR P.DESAI,Gas Line Const/Maintenance,Smart Horizon Capital,,,,,,,,,,,,,,,Rikhav,,,,
INE0PA401012,IDENTIXWEB LTD,Identixweb,26-03-2025,28-03-2025,01-04-2025,02-04-2025,02-04-2025,03-04-2025,54,51,54,10,16.63,30.8,55,1.9,03-04-2025,2000,17.8,BSE SME,BOOK BUILDING,FRESH,,GUJARAT,PRIYANK SAVANI,Soft-Web Prods/Soln,Beeline,,,,,,,,,,,,,,,Spread X,,,,
INE0KWJ01014,RETAGGIO INDUSTRIES LTD,Retaggio Ind,27-03-2025,02-04-2025,03-04-2025,04-04-2025,04-04-2025,07-04-2025,25,,25,10,15.5,61.98,25.1,0.4,07-04-2025,6000,1.8,BSE SME,FIXED PRICE,FRESH,,MAHARASHTRA,VINAY LODHA,Jewellery-Wholesale,Gretex,,,,,,,,,,,,,,,Gretex,,,,
INE10XX01012,SPINAROO COMMERCIAL LTD,Spinaroo Commer,28-03-2025,03-04-2025,04-04-2025,07-04-2025,07-04-2025,08-04-2025,51,,51,10,10.17,19.94,52.85,3.6,08-04-2025,2000,,BSE SME,FIXED PRICE,FRESH,,WEST BENGAL,ADITYA TODI,Pack-Biodegrade,Finshore,,,,,,,,,,,,,,,Black Fox,,,,
INE12IB01015,INFONATIVE SOLUTIONS LTD,Infonative Solu,28-03-2025,03-04-2025,04-04-2025,07-04-2025,07-04-2025,08-04-2025,79,75,79,1,24.71,31.28,63.2,-20,08-04-2025,1600,4,BSE SME,BOOK BUILDING,FRESH,,NEW DELHI,ABDUR RAUF RAHMANI,Software-Products,Share,,,,,,,,,,,,,,,Share India,,,,
