68,INE00TV01023,,,,,,,,,
69,INE00U401027,,,,,,,,,
70,INE00U801010,,,,,,,,,
71,INE00VM01036,,,,,,,,,
72,INE00WC01027,,,,,,Y,Y,,
73,INE00WS01056,,,,,,Y,Y,Y,
74,INE00Y201027,,,,,,Y,Y,,
75,INE00Y801016,,,,,,,,,
76,INE00YB01025,,,,,,Y,,,
77,INE00YJ01010,N,,,,N,,,,
78,INE00Z501011,,,,,,Y,Y,,
79,INE00ZE01026,,,,,,Y,Y,,
80,INE010601016,,,,,,Y,Y,,
81,INE010A01011,,,,,,Y,Y,,
82,INE010B01027,,,,,,Y,Y,,
83,INE010C01025,,,,,N,,,,
84,INE010J01012,,,,,N,,,,
85,INE010R01023,,,,,,Y,Y,,
86,INE010V01017,,,,,,,,,
87,INE011B01017,,,,,,,,,
88,INE011D01013,,,,,,Y,Y,Y,
89,INE011E01029,,,,N,,,,,
90,INE011K01018,,,,,,,,,
91,INE011R01013,,,,,Y,Y,Y,Y,Y
92,INE012A01025,,,,,,Y,,,
93,INE012E01035,,,,,N,,,,
94,INE012Q01021,,,,,,,,,
95,INE013801027,,,,,,Y,Y,,
96,INE013E01017,,,,,,,,,
97,INE013J01016,,,,,Y,Y,Y,Y,Y
98,INE013P01021,,,,,,Y,Y,,
99,INE013V01011,,,,,N,,,,
100,INE014B01011,,,,,N,,,,
101,INE014E01015,,,,,,,,,
102,INE015B01018,,,,,N,,,,
103,INE015C01016,N,,,,N,,,,
104,INE015D01022,,,,,,Y,Y,,
105,INE015E01012,,,,,N,,,,
106,INE015F01019,,,,,,Y,,,
107,INE016A01026,,,,,,Y,Y,,
108,INE016C01014,,,,,,Y,,,
109,INE016M01021,,,,,N,,,,
110,INE016Q01014,,,,,,,,,
111,INE016X01010,,,,Y,,Y,,,
112,INE017A01032,,,,,,,,,
113,INE017C01012,,,,,,,,,
114,INE017E01018,,,,,,Y,Y,,
115,INE017I01027,,,,,,,,,
116,INE017W01010,,,,,,Y,,,
117,INE018401013,,,,,,,,,
118,INE018A01030,,,,,Y,Y,Y,Y,Y
119,INE018E01016,,,,,,Y,Y,,
120,INE018S01016,,,,,,,,,
121,INE019A01038,,,,,,Y,Y,,
122,INE019B01010,,,,,Y,Y,Y,Y,Y
123,INE019C01026,,,,,,,,,
124,INE019D01016,,,,,,,,,
125,INE019J01013,,,,,,Y,Y,,
126,INE01A001028,,,,,N,,,,
127,INE01B501018,,,,,,,,,
128,INE01BK01022,,,,,,Y,Y,,
129,INE01BL01012,,,,,N,,,,
130,INE01C001026,,,,,,Y,Y,,
131,INE01EA01019,,,,,,,,,
132,INE01EE01011,,,,,,,,,
133,INE01EG01016,,,,,,Y,,,
134,INE01EO01010,,,,,,,,,
135,INE01FR01028,,,,,,,,,
136,INE01GN01025,,,,,,,,,
137,INE01GZ01011,,,,N,,,,,
138,INE01IH01015,,,,,N,,,,
139,INE01II01013,,,,,,,,,
