Best Eastern ,INE553F01035,11.37,19.16,1,7.7,7361,503.9,11.49,10.56,12.44,-8.6,14.06,-19.1,19.49,9.99
Super Iron Foun,INE16IQ01014,40.79,95.42,7,7.7,33600,-30,40.79,39,42.2,-3.3,42.97,-5.1,107.95,30.1
TGIF Agribusine,INE0SMU01015,84,15.96,1,7.7,2400,-50,84,80,83.79,.3,92.87,-9.6,120,66.5
Dev Labtech,INE0NIJ01017,79,65.34,5,7.7,1000,-94.1,79,79,69.13,14.3,69.03,14.4,94,51.99
MPDL,INE493H01014,42.64,31.61,2,7.6,716,-49.9,42.98,38.06,45.02,-5.3,50.32,-15.3,74,38
Krishna Defence,INE0J5601015,928.05,1304.09,92,7.6,307597,104.3,955,850.05,783.77,18.4,773.08,20,1027.5,503
Dai Ichi Kar,INE928C01010,334.8,249.43,17,7.5,40915,240.3,339.15,307.1,268.15,24.9,322.62,3.8,472,232.9
Fundviser Cap,INE365H01014,201,118.89,8,7.5,602,-84.7,205.7,188.8,203.15,-1.1,172.18,16.7,281.4,112.5
Vasa Denticity,INE0N5801013,591.9,948,66,7.5,27000,260,607,554,588.22,.6,616.24,-3.9,755,533
National Oxy,INE296D01010,89.1,44.93,3,7.4,3877,11.5,89.9,84,102.69,-13.2,114.23,-22,165,71.8
Ravileela Grani,INE427E01027,43,45.52,3,7.4,1112,343,43,39.1,44.26,-2.8,40.17,7,55.62,31
Tirupati Forge,INE319Y01024,40.92,488.09,34,7.4,3303425,250.2,45,38.5,35.85,14.1,38.44,6.5,63.14,28.21
Arihant Cap,INE420B01036,94.92,988.24,67,7.3,6663572,3381.4,97.82,89.65,98.23,-3.4,88.65,7.1,120.35,56.31
Veejay Lakshmi,INE466D01019,49.9,25.31,2,7.3,37,-98.7,50,49.9,51.88,-3.8,59.14,-15.6,90.87,44.32
Mid Indi Ind,INE401C01018,7.79,12.7,1,7.2,876,-.1,7.97,7.2,7.56,3,8.05,-3.2,12,6.67
Shiva Cem,INE555C01029,23.58,695.61,47,7.2,523579,90,23.93,21.8,24.22,-2.6,30.76,-23.3,45.53,21.75
Krishival Foods,INE0GGO01015,377.25,966.83,65,7.2,25355,65.5,387.35,360.45,456.26,-17.3,435.42,-13.4,506.4,340
Narmada Gel,INE869A01010,391,236.56,16,7.1,6388,142.5,399.95,360.25,349.58,11.8,351.81,11.1,415.55,300
Remus Pharma,INE0O5T01011,786.9,926.97,61,7.1,17500,76.8,847,725.45,714.72,10.1,902.18,-12.8,1244.5,611.05
Entero Health,INE010601016,1194.1,5195.41,344,7.1,1708746,747.9,1225.85,1104.35,1064.63,12.2,1202.75,-.7,1564.95,944
Manbro Indus,INE348N01034,503,25.2,2,7,1998,232.4,503,479.05,444.09,13.3,675.38,-25.5,1099,363.85
Kwality Pharma,INE552U01010,1175.7,1219.93,79,6.9,45394,286,1188,1100,948.95,23.9,921.51,27.6,1235,596.05
Onesource Indus,INE125F01032,6.93,360.13,23,6.8,156876,294.3,6.93,6.51,8.46,-18.1,7.4,-6.4,15,1.17
Interactive Fin,INE064T01018,17.9,12.4,1,6.7,2751,-65.4,17.9,16.5,17.56,1.9,21.7,-17.5,56,14.53
Perfectpac,INE759I01024,95.9,63.9,4,6.6,718,-83.8,95.9,88,92.58,3.6,107.8,-11,153,81.3
Genesys Intl,INE727B01026,428.35,1787.03,108,6.5,238819,95,428.35,421,463.4,-7.6,626.07,-31.6,1054.8,390.9
E-Land ,INE311H01018,13.17,63.2,4,6.5,6704,-41.7,13.4,12,15.6,-15.6,18.43,-28.5,32.27,9.88
Justo Realfinte,INE0W5Q01017,100,187.98,11,6.4,24000,140,103,92.65,113.65,-12,114.14,-12.4,136.8,87.3
Alfa ICA India,INE042C01010,87.68,35.42,2,6.3,49,-94.1,89,87.68,84.03,4.3,85.31,2.8,123,67.5
Riddhi Display,INE1DKT01011,40.07,34.62,2,6.3,60000,-23.1,41.25,38.6,53.71,-25.4,53.71,-25.4,80,35.75
Chartered Logis,INE558F01026,9.42,93.58,5,6.2,565693,9,9.95,8.77,7.67,22.8,8.79,7.2,13.99,6.15
South Ind Bank,INE683A01023,42.12,11019.86,638,6.1,108806851,257.4,42.5,39.36,38.26,10.1,30.13,39.8,42.5,22.12
VIP Cloth,INE450G01024,32.9,271.74,16,6.1,569831,376.7,34.15,30.19,33.32,-1.3,36.53,-9.9,47.13,28
Adcounty Media,INE0W1601012,108.2,243.46,14,6.1,54400,353.3,108.2,108.2,162.19,-33.3,176.54,-38.7,282,100
Silver Touch,INE625X01018,1438.55,1824.23,105,6.1,827158,12.2,1477,1319.9,829.84,73.4,743.81,93.4,1477,621
Shervani Indl,INE011D01013,445,115.26,6,6,543,805,445,411,397.61,11.9,415.87,7,569.9,341.65
Madhusudan Ind,INE469C01023,36,19.35,1,5.9,1427,9.7,37.5,33.05,36.28,-.8,41.81,-13.9,62,30.99
JD Cables,INE14VP01014,236.85,534.12,30,5.9,150400,-24.5,239.75,215,171.75,37.9,168.17,40.8,239.75,130
ABM Int,INE251C01025,42.56,40.04,2,5.9,1719,-13.1,43.98,40.18,47.07,-9.6,51.17,-16.8,78.21,37.01
Aether Indus,INE0BWX01014,999.8,13256.35,740,5.9,2089567,336.6,1021.1,946.75,826.05,21,799.97,25,1021.1,723.15
Laxmipati Engg,INE920P01019,406,233.53,13,5.9,13000,225,421.65,392.05,366.17,10.9,333.12,21.9,452.3,167.9
Sika Inter,INE438E01032,1012.85,2147.34,120,5.9,60257,375.1,1038,955.1,1034.1,-2.1,941.65,7.6,1624.95,399.96
Vamshi Rubber,INE380C01014,48.8,20.53,1,5.9,126,13.5,50,45.84,51.22,-4.7,49.68,-1.8,63.9,33.05
Standard Surfa,INE307D01015,51,41.96,2,5.8,524,31.3,55.9,48,52.58,-3,51.84,-1.6,69,38
Challani Capita,INE807A01010,22.95,34.43,2,5.8,614,32.9,22.95,21.01,26.46,-13.3,27,-15,33.12,19.91
ABC India,INE125D01011,79.49,43.06,2,5.7,312,-70.6,79.75,77,78.58,1.2,89,-10.7,122,67.55
Kakatiya Tex,INE092E01011,14.8,8.57,0,5.7,3016,14.7,14.8,14,16.59,-10.8,18.92,-21.8,26.75,14
Maruti Interior,INE0JSJ01014,205,309.55,17,5.7,145000,752.9,205,195,120.15,70.6,126,62.7,229.5,85
IGC Indust,INE099S01016,2.4,8.33,0,5.7,103564,62.1,2.4,2.34,2.83,-15.2,4.64,-48.3,9.43,2.07
Mukat Pipes,INE862C01029,14,16.56,1,5.7,976,-40.2,14.48,13,14.58,-4,16.37,-14.5,20.97,11.8
Paras Petrofils,INE162C01024,2.06,75.78,4,5.6,226051,-12,2.12,2,2.05,.5,2.47,-16.6,3.48,1.73
Phoenix Intl,INE245B01011,39.95,67.07,4,5.6,971,-84,40.4,39.95,40.51,-1.4,44.13,-9.5,65.25,35.1
Goldiam Intl,INE025B01025,377,4256.99,224,5.6,664183,261,391.4,350.05,369.85,1.9,381.01,-1.1,569,252
Gagan Gas,INE076D01016,23,10.39,1,5.6,3331,-33.8,23.45,21.81,24.58,-6.4,22.66,1.5,35.8,17.61
MAS Financial,INE348L01012,338.1,6134.82,324,5.6,945242,805.6,341,320.3,312.57,8.2,290,16.6,350,221.5
Hit Kit Global ,INE309B01023,1.12,4.14,0,5.6,53270,-12,1.14,1.05,1.18,-5.1,1.27,-11.8,1.73,.91
KJMC Corp,INE602C01011,57,22.38,1,5.6,285,88.7,58.5,50.56,61.38,-7.1,73.76,-22.7,95.7,41
Ashirwad Steels,INE338C01012,29.28,36.6,2,5.5,4913,57.8,30,27.76,29.99,-2.4,32.26,-9.2,48.84,26.03
Aaradhya Dispos,INE124401014,135,190.86,10,5.5,4800,0,135,129,143.25,-5.8,134.8,.1,182,97.5
Alfavision Over,INE883B01027,5.37,16.93,1,5.5,3617,-85.8,5.38,5.1,5.96,-9.9,9.51,-43.5,16.66,5
Nalin Lea Fin,INE606C01012,49.72,32.61,2,5.5,226,-36,53.9,49,47.65,4.3,55.53,-10.5,82.88,41.73
NTC Ind,INE920C01017,168.5,201.26,10,5.4,10986,142.7,169,160,171.66,-1.8,188.39,-10.6,242,150
NG Ind,INE825C01018,153,51.26,3,5.4,585,25.3,156.5,149,136.58,12,154.75,-1.1,186.9,120.05
Balgopal Commer,INE119R01014,187,355.49,18,5.4,586,-25.4,187,178,201.72,-7.3,173.18,8,272.95,102.7
Unison Metal,INE099D01026,1.36,40.29,2,5.4,1671133,-30.6,1.39,1.22,1.93,-29.5,2.27,-40.1,2.9,1.22
