Sheetal Univer,INE04VX01019,168.25,176,60.2,115.8,192.4
Shiv Aum Steel,INE719F01016,327.85,360.55,237.5,123.05,51.8
Sunlite Recycl,INE0U2N01013,375.1,375.1,91,284.1,312.2
Visaman Global,INE0BHK01012,132,137.55,34,103.55,304.6
Ansal Pro,INE436A01026,3.29,9.68,3.26,-6.42,-66.3
GTN Ind,INE537A01013,20.2,38.89,19.13,-19.76,-50.8
Jindal Poly ,INE197D01010,478.75,969.95,473.75,-496.2,-51.2
Whirlpool,INE716A01013,878.55,1888,876.4,-1011.6,-53.6
MPIL Corp,INE844C01027,358.1,787.35,358.1,-429.25,-54.5
NOCIL,INE163A01018,149,252,146.45,-105.55,-41.9
Tata Chemicals,INE092A01019,754.75,1033.6,742.6,-291,-28.2
Global Offshore,INE446C01013,54.15,126,53.97,-72.03,-57.2
Citadel,INE906D01014,38.8,94.5,37.5,-57,-60.3
Katare Spg,INE498G01015,96.95,225,89,-136,-60.4
Nelco,INE045B01015,712.85,1378,706.5,-671.5,-48.7
Grandma Tradin,INE927M01029,.49,.66,.49,-.17,-25.8
National Stand,INE166R01015,1276.25,4457.7,1206,-3251.7,-72.9
Fiberweb ,INE296C01020,35.52,62.37,33.73,-28.64,-45.9
Jindal Hot,INE726D01016,74.62,109,74,-35,-32.1
India Cem Cap,INE429D01017,14.14,20.07,13.5,-6.57,-32.7
Betex ,INE765L01017,225.85,648,220.05,-427.95,-66
Garnet Intl,INE590B01010,47.93,181,47,-134,-74
Shalimar Prod,INE435E01020,.49,.59,.49,-.1,-16.9
Gujarat Tool,INE145J01032,.73,3.32,.72,-2.6,-78.3
Ganesha Eco,INE845D01014,821,1998.95,819.8,-1179.15,-59
Zenith Fibre,INE106C01013,56.13,82.5,54.21,-28.29,-34.3
Salzer ,INE457F01013,675.1,1585.85,672.55,-913.3,-57.6
Suraj Prod,INE069E01019,204.95,504.9,202.05,-302.85,-60
Virat Crane Ind,INE295C01014,38.01,65.89,35.07,-30.82,-46.8
Kakatiya Tex,INE092E01011,14.8,26.75,14,-12.75,-47.7
Cityman,INE117C01010,11.12,27.67,11.05,-16.62,-60.1
Cranex,INE608B01010,64.54,150.85,62.25,-88.6,-58.7
Mitshi India,INE844D01017,13.95,17.9,13.01,-4.89,-27.3
Syncom Form,INE312C01025,13.9,23.46,13.85,-9.61,-41
Amrapali Ind,INE762C01021,14.37,20.24,13.72,-6.52,-32.2
Lords Ishwa Hot,INE689J01013,14.01,24.94,14.01,-10.93,-43.8
Kay Power,INE961B01013,11.43,39.2,10.25,-28.95,-73.9
Vinyoflex,INE526H01011,54.45,86.2,50.2,-36,-41.8
Tinna Rubber,INE015C01016,755.35,1500,750,-750,-50
Anirit Ventures,INE161F01011,44.82,144.1,43.08,-101.02,-70.1
SSPDL,INE838C01011,12.07,24,12.07,-11.93,-49.7
ERP Soft Sys,INE308B01017,69,150,69,-81,-54
Balaji Amines,INE050E01027,1083.3,1980,1066.05,-913.95,-46.2
CG-VAK Soft,INE084D01010,223.9,379,222,-157,-41.4
Gorani Ind,INE792J01015,58.03,126.1,58.03,-68.07,-54
National Gener,INE654H01011,38.45,73,37,-36,-49.3
GK Cons,INE131D01019,10.91,20.8,10.9,-9.9,-47.6
Unitech Intl,INE929K01011,3.95,6,3.71,-2.29,-38.2
Odyssey Corp,INE839E01023,7.52,41.1,7.3,-33.8,-82.2
Epuja Spiritech,INE807D01030,2.46,5.67,2.44,-3.23,-57
TCFC Fin,INE389D01013,32,77.4,31.17,-46.23,-59.7
HB Portfolio,INE638B01025,63.97,109.98,60,-49.98,-45.4
United Brew,INE686F01025,1589.5,2299.4,1566.05,-733.35,-31.9
Vivimed Lab,INE526G01021,12.23,27.99,12.23,-15.76,-56.3
JHS Svendgaard,INE544H01014,9.07,22.46,9.03,-13.43,-59.8
Siti Net,INE965H01011,.49,.8,.49,-.31,-38.8
AI Champdany,INE768E01024,31.5,65.7,30.2,-35.5,-54
Jagjanani Tex,INE702H01018,4.51,14.5,4.31,-10.19,-70.3
HDIL,INE191I01012,2.33,4.66,2.28,-2.38,-51.1
Somi Conveyor,INE323J01019,121.85,218.4,119.55,-98.85,-45.3
Flexituff Ven,INE060J01017,12.58,69.41,12.02,-57.39,-82.7
Toyam Sports,INE457P01020,1.07,2.3,1,-1.3,-56.5
Gita Renewable,INE776O01018,87.6,161.7,85.5,-76.2,-47.1
Shivalik Rasaya,INE788J01021,347.55,872.65,347,-525.65,-60.2
Gala Glob Prod,INE480S01026,1.99,4.25,1.92,-2.33,-54.8
Lux Ind,INE150G01020,1056.25,2073.5,1051,-1022.5,-49.3
Aarnav Fashion,INE750R01016,28.77,75.5,28.55,-46.95,-62.2
Mahanagar Gas,INE002S01010,1074.5,1586,1070.05,-515.95,-32.5
Titaan Ten Ent,INE120V01014,67,124.2,62.1,-62.1,-50
Chothani Foods,INE344X01016,17.51,46.99,17.51,-29.48,-62.7
Yasho Ind,INE616Z01012,1345,2330,1326,-1004,-43.1
Dhruv Consult,INE506Z01015,46.08,156.65,44.5,-112.15,-71.6
Unick Fix,INE250G01010,54.25,85.99,54.15,-31.84,-37
Xpro India,INE445C01015,922.4,1625,922.4,-702.6,-43.2
Oil Country ,INE591A01010,58.98,101,58.01,-42.99,-42.6
Page Ind,INE761H01022,35338.75,50470.6,35005,-15465.6,-30.6
Shree Kris Infr,INE951Z01013,12.48,71,11.3,-59.7,-84.1
Foods & Inns,INE976E01023,68.71,128.79,67.63,-61.16,-47.5
Odyssey Tech,INE213B01019,64.69,122.4,62.11,-60.29,-49.3
Om Infra,INE239D01028,91.6,172.45,91.55,-80.9,-46.9
RTCL,INE754B01012,15.7,24.5,15.27,-9.23,-37.7
ITC,INE154A01025,342.45,471.3,337.9,-133.4,-28.3
Future Ent,INE623B01027,.49,.68,.49,-.19,-27.9
Surana Solar,INE272L01022,27.03,48.47,25,-23.47,-48.4
Jonjua Overseas,INE793Z01027,6.95,12.38,6.66,-5.72,-46.2
Uniroyal Ind,INE980D01019,18.95,31.65,16.7,-14.95,-47.2
Race Eco Chain,INE084Q01012,138.5,374.35,137.5,-236.85,-63.3
Jhande Foods,INE841Y01019,31.05,83.51,31.05,-52.46,-62.8
Unishire Urban,INE210P01015,1.6,3.55,1.49,-2.06,-58
Symbiox Invest,INE653R01012,1.72,6.02,1.64,-4.38,-72.8
Cohance Life,INE03QK01018,504.3,1328.2,500.9,-827.3,-62.3
Arnold Hold,INE185K01036,13.99,47,13.4,-33.6,-71.5
