63,2,Ship Build/Breaking,9,181414,-922.83,-.5,40396,3,3959,2.2,-2275,-1.2,-19187,-9.6,-42829,-19.1,37764,26.3,I24700T24890,24810
64,3,Realty-Residential,57,181112,-1332,-.7,54155,4,5230,3,-1545,-.8,-7903,-4.2,-28810,-13.7,-34055,-15.8,I51000T51910,51310
65,1,Tyres/Tubes,11,177674,242.69,.1,103487,1,2626,1.5,-1617,-.9,8551,5.1,6863,4,12816,7.8,I25200T25290,25210
66,5,Speciality Chem,32,176507,-997.99,-.6,70991,4,1012,.6,1337,.8,-8150,-4.4,-34827,-16.5,-25985,-12.8,I21100T21490,21410
67,2,Steel Tubes/Pipes,33,171111,-643.98,-.4,93805,2,1780,1.1,1727,1,-32053,-15.8,-37975,-18.2,-39490,-18.8,I31000T31190,31140
68,2,Beverages/Water,3,169087,3703,2.2,68576,2,5107,3.1,6743,4.2,20501,13.8,14624,9.5,-35886,-17.5,I11200T12390,12150
69,6,Solar Ancillaries,20,160234,-3031,-1.9,52974,6,-13443,-7.7,-15667,-8.9,-23898,-13,5491,3.5,218.22,.1,I52100T52390,52330
70,6,Bonding Agents,4,154705,-152.51,-.1,47650,6,4471,3,3066,2,1286,.8,-4438,-2.8,5136,3.4,I21100T21490,21310
71,6,NBFC-Investment,153,152397,565.92,.4,50603,7,3200,2.1,8759,6.1,-20259,-11.7,8518,5.9,9634,6.7,I72000T72190,72130
72,5,CRAMS-Integrated,9,152162,133.1,.1,70915,5,2455,1.6,937.63,.6,-19923,-11.6,27975,22.5,15002,10.9,I21500T21592,21502
73,3,Auto Casting/Forging,32,149387,-695.08,-.5,75332,3,6958,4.9,9000,6.4,19230,14.8,12390,9,12211,8.9,I24200T24290,24250
74,2,Software-Divers ,9,148723,728.26,.5,102049,2,-403.54,-.3,-14735,-9,307.21,.2,-19007,-11.3,10120,7.3,I53000T53390,53290
75,7,NBFC-Asst Fin-NDT ,18,138580,-230.81,-.2,51281,6,-401.63,-.3,-479.7,-.3,-3050,-2.2,-13689,-9,71514,106.6,I72000T72190,72180
76,5,Multi FMCG,2,138505,769.72,.6,64002,4,4260,3.2,11645,9.2,9443,7.3,3304,2.4,7524,5.7,I22100T22190,22190
77,4,Bank-Microfin,9,129146,-588.8,-.5,98063,5,3405,2.7,6004,4.9,17727,15.9,9722,8.1,36420,39.3,I71000T71310,71111
78,7,Power-Hydro,4,129102,-1641,-1.3,42504,7,9653,8.1,9481,7.9,-6014,-4.5,-8077,-5.9,-2673,-2,I52100T52390,52110
79,1,Share Broking,10,126989,-76.28,-.1,88734,1,-2220,-1.7,890.78,.7,98964,353.1,96133,311.6,94617,292.3,I62100T62190,62121
80,7,Explosives,5,121268,1005,.8,33625,7,5076,4.4,25.35,0,-12653,-9.4,-36704,-23.2,30261,33.3,I21100T21490,21220
81,3,Software-Products,27,119619,442.38,.4,78603,3,1792,1.5,-4082,-3.3,15016,14.4,349.54,.3,-6406,-5.1,I53000T53390,53220
