27,,27,Hindustan Aero,301964,-685.5,-0.2,85637,49,12456,4.3,4715,1.6,-21933,-6.8,-31968,-9.6,27684,10.1,4515.15,4525.4,-10.25,-0.2,4528,4548.15,4480,4515.15,557,2514,40799,INE066F01020,I24000T24190,24010,Aircraft/Helicopter,1,1.08,DEFENCE MINISTRY,1,HINDUSTAN AERONAUTICS LTD,541154,HAL,0,24.1,32.3,126.04,146.86,35.8,30.7,300,0.3,0
28,,28,Bharat Elect,301895,-584.78,-0.2,147506,22,14218,4.9,4605,1.5,-109.65,0,-10636,-3.4,95685,46.4,413,413.8,-0.8,-0.2,415.65,415.65,410.1,413,10675,4410,133708,INE263A01024,I24600T24690,24670,Defence Electronics,1,1.08,DEFENCE MINISTRY,2,BHARAT ELECTRONICS LTD,500049,BEL,1,28.4,38.2,7.75,8.54,53.3,48.4,240,0.6,0
29,,29,Adani Power,284642,2700,1,71274,67,5593,2,7425,2.7,-8485,-2.9,59146,26.2,92586,48.2,147.6,146.2,1.4,1,147.35,149.1,146.7,147.6,16340,2417,84698,INE814H01029,I52100T52390,52120,Power-Thermal,2,477,ADANI-GAUTAM,3,ADANI POWER LTD,533096,ADANIPOWER,0,21.4,20,6.26,10.58,23.6,14,0,0,0.66
30,,30,Wipro,278298,2202,0.8,76114,62,1730,0.6,5714,2.1,24569,9.7,-4499,-1.6,-29524,-9.6,265.45,263.35,2.1,0.8,263.35,266.1,263,265.45,4379,1160,63129,INE075A01022,I53000T53390,53210,Software-Integrated,4,447,WIPRO,1,WIPRO LTD,507685,WIPRO,1,16.4,19.6,12.91,15.22,20.6,17.4,0,4.2,0.19
31,,31,Asian Paints,272725,3065,1.1,129190,27,9443,3.6,-11884,-4.2,46900,20.8,40138,17.3,55164,25.4,2843.25,2811.3,31.95,1.1,2824.95,2847.8,2813,2845.2,915,2597,62484,INE021A01026,I21100T21490,21170,Paint/Varnishes,1,78,ASIAN PAINTS-DANI,1,ASIAN PAINTS LTD,500820,ASIANPAINT,1,20.3,28,40.96,53.49,69.4,53.2,2680,0.9,0.04
32,,32,Hind Zinc,271646,6169,2.3,103660,38,7584,2.9,61199,29.1,63988,30.8,83634,44.5,82958,44,642.95,628.35,14.6,2.3,634.05,649.2,634.05,642.95,10863,6982,128195,INE267A01025,I31200T31290,31210,Non-Ferrous-Basic,1,1140,VEDANTA,1,HINDUSTAN ZINC LTD,500188,HINDZINC,0,79.3,62,25,33.92,25.7,19,0,0,0.78
33,,33,Bajaj Auto,269881,5117,1.9,121339,30,10535,4.1,15345,6,24407,9.9,34521,14.7,23493,9.5,9664.15,9480.9,183.25,1.9,9550.05,9782.75,9533.65,9659.35,525,5092,77452,INE917I01010,I24000T24190,24110,Auto 2-3 Wheeler,1,48.1,BAJAJ-RAHUL,3,BAJAJ AUTO LTD,532977,BAJAJ-AUTO,1,26.4,29.4,333.01,349.14,29,27.7,2100,2.2,0.27
34,,34,Coal India,263087,-338.95,-0.1,97000,41,17841,7.3,28842,12.3,27640,11.7,25175,10.6,29674,12.7,426.9,427.45,-0.55,-0.1,427.45,431.1,424.5,426.9,7261,3104,142673,INE522F01014,I32100T32190,32110,Coal Raw,1,1.05,COAL MINISTRY,1,COAL INDIA LTD,533278,COALINDIA,1,30.9,39.8,49.68,67.8,8.6,6.3,320,7.5,0.08
35,,35,Nestle,254536,1138,0.4,94789,42,8889,3.6,13977,5.8,27177,12,23894,10.4,43863,20.8,1320,1314.1,5.9,0.4,1315.5,1322.7,1298.7,1319.55,910,1195,49266,INE239A01024,I22100T22190,22160,Consumer Branded ,1,4168.004,NESTLE-SWISS,1,NESTLE INDIA LTD,500790,NESTLEIND,1,74.7,88.6,15.53,18.89,85,69.9,0,0,0.17
36,,36,Eternal,253663,-2776,-1.1,253663,13,1593,0.6,-12422,-4.7,-50563,-16.6,16709,7.1,22888,9.9,278.75,281.8,-3.05,-1.1,281.5,283.1,276.25,278.75,39290,10973,255939,INE758T01015,I53400T53590,53521,E-Commerce,1,,,1,ETERNAL LTD,543320,ETERNAL,1,0.6,2.3,0.21,1.48,1327.4,188.3,0,0,0
