150,2025-08-12,4484,2165,2149,170
151,2025-08-13,4503,2224,2119,160
152,2025-08-14,4461,1733,2563,165
153,2025-08-18,4642,2615,1845,182
154,2025-08-19,4506,2673,1660,173
155,2025-08-20,4501,2380,1955,166
156,2025-08-21,4520,2179,2188,153
157,2025-08-22,4508,1812,2527,169
158,2025-08-25,4648,1957,2504,187
159,2025-08-26,4503,1268,3112,123
160,2025-08-28,4501,1511,2831,159
161,2025-08-29,4500,1916,2420,164
162,2025-09-01,4648,2754,1699,195
163,2025-09-02,4564,2577,1833,154
164,2025-09-03,4552,2645,1748,159
165,2025-09-04,4569,1842,2571,156
166,2025-09-05,4537,2123,2237,177
167,2025-09-08,4692,2313,2203,176
168,2025-09-09,4556,1974,2413,169
169,2025-09-10,4555,2430,1973,152
170,2025-09-11,4569,2117,2281,171
171,2025-09-12,4582,2036,2386,160
172,2025-09-15,4682,2318,2188,176
173,2025-09-16,4587,2567,1835,185
174,2025-09-17,4633,2417,2040,176
175,2025-09-18,4629,2186,2276,167
176,2025-09-19,4598,2157,2264,177
177,2025-09-22,4749,1797,2778,174
178,2025-09-23,4585,1839,2593,153
179,2025-09-24,4608,1685,2778,145
180,2025-09-25,4582,1523,2911,148
181,2025-09-26,4554,1025,3395,134
182,2025-09-29,4652,1911,2565,176
183,2025-09-30,4520,2031,2328,161
184,2025-10-01,4566,2804,1618,144
185,2025-10-03,4621,2744,1726,151
186,2025-10-06,4738,1797,2752,189
187,2025-10-07,4605,1831,2613,161
188,2025-10-08,4605,1816,2638,151
189,2025-10-09,4622,2045,2412,165
190,2025-10-10,4620,2516,1929,175
191,2025-10-13,4732,1653,2897,182
192,2025-10-14,4623,1371,3119,133
193,2025-10-15,4609,2493,1957,159
194,2025-10-16,4614,2381,2080,153
195,2025-10-17,4590,1700,2710,180
196,2025-10-20,4740,2539,1994,207
197,2025-10-21,4417,3181,1050,186
198,2025-10-23,4659,1914,2613,132
199,2025-10-24,4606,1906,2527,173
200,2025-10-27,4785,2158,2411,216
201,2025-10-28,4613,1915,2513,185
202,2025-10-29,4613,2522,1918,173
203,2025-10-30,4592,1950,2467,175
204,2025-10-31,4584,1875,2533,176
205,2025-11-03,4727,2262,2248,217
206,2025-11-04,4605,1686,2755,164
207,2025-11-06,4631,1251,3241,139
208,2025-11-07,4591,2122,2314,155
209,2025-11-10,4787,1975,2624,188
210,2025-11-11,4652,1999,2472,181
211,2025-11-12,4672,2547,1942,183
212,2025-11-13,4654,1888,2617,149
213,2025-11-14,4617,2021,2442,154
214,2025-11-17,4809,2062,2550,197
215,2025-11-18,4645,1567,2948,130
216,2025-11-19,4640,1844,2622,174
217,2025-11-20,4648,1900,2579,169
218,2025-11-21,4635,1330,3133,172
219,2025-11-24,4743,1256,3285,202
220,2025-11-25,4616,2126,2334,156
221,2025-11-26,4619,2833,1618,168
222,2025-11-27,4616,2057,2368,191
223,2025-11-28,4603,2067,2372,164
224,2025-12-01,4727,1860,2666,201
225,2025-12-02,4594,1589,2834,171
226,2025-12-03,4607,1514,2927,166
227,2025-12-04,4587,1835,2591,161
228,2025-12-05,4600,1754,2668,178
229,2025-12-08,4781,920,3672,189
230,2025-12-09,4614,2728,1721,165
231,2025-12-10,4622,2060,2393,169
232,2025-12-11,4617,2486,1954,177
233,2025-12-12,4631,2636,1814,181
234,2025-12-15,4728,2281,2265,182
235,2025-12-16,4610,1715,2723,172
236,2025-12-17,4620,1509,2924,187
237,2025-12-18,4606,1663,2763,180
238,2025-12-19,4617,2754,1698,165
239,2025-12-22,4779,2872,1708,199
240,2025-12-23,4662,2396,2090,176
241,2025-12-24,4627,1953,2517,157
242,2025-12-26,4657,1818,2683,156
243,2025-12-29,4793,1613,2986,194
244,2025-12-30,4627,1977,2463,187
245,2025-12-31,4662,2864,1623,175
246,2026-01-01,4612,2256,2183,173
247,2026-01-02,4652,2798,1694,160
248,2026-01-05,4743,1713,2813,217
249,2026-01-06,4630,1655,2784,191
